# ref-type-bench-v2
# unix_time: "1789346743"
# git_commit: "unavailable"
# git_status: "unavailable"
# rustc: "rustc 1.98.1 (48a229cea 2026-09-01)\nbinary: rustc\ncommit-hash: 48a229ceaefd4985c50990b14116b6d856af0985\ncommit-date: 2026-09-01\nhost: x86_64-unknown-linux-gnu\nrelease: 1.98.1\nLLVM version: 22.1.8"
# system: "Linux N-DESKTOP-2 6.18.33.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun 18 21:54:43 UTC 2026 x86_64 x86_64 x86_64 GNU/Linux"
# cpu: "model name\t: 12th Gen Intel(R) Core(TM) i5-12400"
# cpu_affinity: "Cpus_allowed_list:\t0"
# RUSTFLAGS: ""
# CARGO_ENCODED_RUSTFLAGS: ""
# config: "Args { filter: \"\", list: false, samples: 10, warmup_ms: 1000, sample_ms: 200, save_baseline: Some(\"before-2\"), baseline: None, output_dir: \"/home/namaniyu/source/ref-type/target/benchmarks/front-refactor-final-results\", bench: false }"
case	sample	iterations	elapsed_ns	ns_per_iteration
parse/mccarthy91	0	2352	185707292	78957.181973
parse/mccarthy91	1	2313	185594161	80239.585387
parse/mccarthy91	2	2336	185839460	79554.563356
parse/mccarthy91	3	2224	185883503	83580.711781
parse/mccarthy91	4	2102	173169343	82383.131779
parse/mccarthy91	5	2305	185585796	80514.445119
parse/mccarthy91	6	2227	185013239	83077.341266
parse/mccarthy91	7	2317	185687454	80141.326716
parse/mccarthy91	8	2194	185737977	84657.236554
parse/mccarthy91	9	2329	185760037	79759.569343
load/library	0	25	152100105	6084004.200000
load/library	1	25	145913102	5836524.080000
load/library	2	26	148483633	5710908.961538
load/library	3	22	140206271	6373012.318182
load/library	4	27	146055835	5409475.370370
load/library	5	28	150155023	5362679.392857
load/library	6	28	150008360	5357441.428571
load/library	7	27	147979726	5480730.592593
load/library	8	29	146270404	5043807.034483
load/library	9	29	142852215	4925938.448276
check/library	0	1	2262705426	2262705426.000000
check/library	1	1	2263736414	2263736414.000000
check/library	2	1	2161130031	2161130031.000000
check/library	3	1	2269352331	2269352331.000000
check/library	4	1	2287489198	2287489198.000000
check/library	5	1	2263909663	2263909663.000000
check/library	6	1	2276026643	2276026643.000000
check/library	7	1	2321233581	2321233581.000000
check/library	8	1	2209688908	2209688908.000000
check/library	9	1	2472164070	2472164070.000000
pipeline/library	0	1	2268488489	2268488489.000000
pipeline/library	1	1	2156435575	2156435575.000000
pipeline/library	2	1	2250938589	2250938589.000000
pipeline/library	3	1	2315111082	2315111082.000000
pipeline/library	4	1	2158085105	2158085105.000000
pipeline/library	5	1	2287360802	2287360802.000000
pipeline/library	6	1	2297592963	2297592963.000000
pipeline/library	7	1	2263635244	2263635244.000000
pipeline/library	8	1	2299678213	2299678213.000000
pipeline/library	9	1	2315026550	2315026550.000000
pipeline/mccarthy91	0	5	210229550	42045910.000000
pipeline/mccarthy91	1	4	179864290	44966072.500000
pipeline/mccarthy91	2	5	207546198	41509239.600000
pipeline/mccarthy91	3	5	205830368	41166073.600000
pipeline/mccarthy91	4	5	192395544	38479108.800000
pipeline/mccarthy91	5	5	190487974	38097594.800000
pipeline/mccarthy91	6	5	196174632	39234926.400000
pipeline/mccarthy91	7	5	190580116	38116023.200000
pipeline/mccarthy91	8	5	190427486	38085497.200000
pipeline/mccarthy91	9	5	217794107	43558821.400000
instantiate/128x16-unused	0	132	188482672	1427899.030303
instantiate/128x16-unused	1	129	188539557	1461546.953488
instantiate/128x16-unused	2	133	189241615	1422869.285714
instantiate/128x16-unused	3	131	189200061	1444275.274809
instantiate/128x16-unused	4	132	188476757	1427854.219697
instantiate/128x16-unused	5	123	188688447	1534052.414634
instantiate/128x16-unused	6	130	187853997	1445030.746154
instantiate/128x16-unused	7	129	189043719	1465455.186047
instantiate/128x16-unused	8	130	188981614	1453704.723077
instantiate/128x16-unused	9	130	189113583	1454719.869231
instantiate/128x16-one-each	0	121	188925604	1561368.628099
instantiate/128x16-one-each	1	126	189313434	1502487.571429
instantiate/128x16-one-each	2	127	189397642	1491320.015748
instantiate/128x16-one-each	3	128	187897409	1467948.507812
instantiate/128x16-one-each	4	129	189137062	1466178.775194
instantiate/128x16-one-each	5	112	189369670	1690800.625000
instantiate/128x16-one-each	6	115	188883941	1642469.052174
instantiate/128x16-one-each	7	126	190325163	1510517.166667
instantiate/128x16-one-each	8	127	188667282	1485569.149606
instantiate/128x16-one-each	9	128	188540643	1472973.773438
normalize/beta256	0	27003	141462140	5238.756434
normalize/beta256	1	26830	141960838	5291.123295
normalize/beta256	2	26909	141780753	5268.897135
normalize/beta256	3	26752	142003693	5308.152400
normalize/beta256	4	24954	141274856	5661.411237
normalize/beta256	5	24495	141360389	5770.989549
normalize/beta256	6	23051	141613193	6143.472865
normalize/beta256	7	24694	141702113	5738.321576
normalize/beta256	8	24679	142104120	5758.098788
normalize/beta256	9	24533	141571488	5770.655362
kernel/closure64x128	0	8868	51056386	5757.373252
kernel/closure64x128	1	9191	49220192	5355.259711
kernel/closure64x128	2	9760	49369038	5058.303074
