# ref-type-bench-v2
# unix_time: "1789346610"
# git_commit: "unavailable"
# git_status: "unavailable"
# rustc: "rustc 1.98.1 (48a229cea 2026-09-01)\nbinary: rustc\ncommit-hash: 48a229ceaefd4985c50990b14116b6d856af0985\ncommit-date: 2026-09-01\nhost: x86_64-unknown-linux-gnu\nrelease: 1.98.1\nLLVM version: 22.1.8"
# system: "Linux N-DESKTOP-2 6.18.33.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun 18 21:54:43 UTC 2026 x86_64 x86_64 x86_64 GNU/Linux"
# cpu: "model name\t: 12th Gen Intel(R) Core(TM) i5-12400"
# cpu_affinity: "Cpus_allowed_list:\t0"
# RUSTFLAGS: ""
# CARGO_ENCODED_RUSTFLAGS: ""
# config: "Args { filter: \"\", list: false, samples: 10, warmup_ms: 1000, sample_ms: 200, save_baseline: Some(\"after-2\"), baseline: None, output_dir: \"/home/namaniyu/source/ref-type/target/benchmarks/front-refactor-final-results\", bench: false }"
case	sample	iterations	elapsed_ns	ns_per_iteration
parse/mccarthy91	0	1956	184494525	94322.354294
parse/mccarthy91	1	2087	184886652	88589.675132
parse/mccarthy91	2	2136	185217067	86712.110019
parse/mccarthy91	3	1737	184858639	106424.086931
parse/mccarthy91	4	1369	187938513	137281.601899
parse/mccarthy91	5	1970	185025036	93921.338071
parse/mccarthy91	6	2223	185364232	83384.719748
parse/mccarthy91	7	2185	185295148	84803.271396
parse/mccarthy91	8	2187	185111814	84641.890261
parse/mccarthy91	9	2264	185400320	81890.600707
load/library	0	24	142495994	5937333.083333
load/library	1	25	141629280	5665171.200000
load/library	2	22	136544498	6206568.090909
load/library	3	23	136090949	5916997.782609
load/library	4	22	136018742	6182670.090909
load/library	5	21	134505648	6405030.857143
load/library	6	19	130889186	6888904.526316
load/library	7	27	147290812	5455215.259259
load/library	8	26	146038363	5616860.115385
load/library	9	25	142786605	5711464.200000
check/library	0	1	2260186154	2260186154.000000
check/library	1	1	2283560265	2283560265.000000
check/library	2	1	2265491564	2265491564.000000
check/library	3	1	3336068172	3336068172.000000
check/library	4	1	2741469788	2741469788.000000
check/library	5	1	2560139601	2560139601.000000
check/library	6	1	2384235945	2384235945.000000
check/library	7	1	2310786307	2310786307.000000
check/library	8	1	2252167163	2252167163.000000
check/library	9	1	2259289284	2259289284.000000
pipeline/library	0	1	2286056890	2286056890.000000
pipeline/library	1	1	2099711560	2099711560.000000
pipeline/library	2	1	2225251558	2225251558.000000
pipeline/library	3	1	2237433285	2237433285.000000
pipeline/library	4	1	2186455776	2186455776.000000
pipeline/library	5	1	2227337430	2227337430.000000
pipeline/library	6	1	2247587266	2247587266.000000
pipeline/library	7	1	2223742842	2223742842.000000
pipeline/library	8	1	2197814764	2197814764.000000
pipeline/library	9	1	2245253978	2245253978.000000
pipeline/mccarthy91	0	5	210105297	42021059.400000
pipeline/mccarthy91	1	5	209719599	41943919.800000
pipeline/mccarthy91	2	5	216486446	43297289.200000
pipeline/mccarthy91	3	4	177004525	44251131.250000
pipeline/mccarthy91	4	5	210302214	42060442.800000
pipeline/mccarthy91	5	5	214007036	42801407.200000
pipeline/mccarthy91	6	4	180970209	45242552.250000
pipeline/mccarthy91	7	5	214261814	42852362.800000
pipeline/mccarthy91	8	5	209456235	41891247.000000
pipeline/mccarthy91	9	5	197670843	39534168.600000
instantiate/128x16-unused	0	117	189011279	1615481.017094
instantiate/128x16-unused	1	113	189436415	1676428.451327
instantiate/128x16-unused	2	125	188991401	1511931.208000
instantiate/128x16-unused	3	132	188452637	1427671.492424
instantiate/128x16-unused	4	131	187953250	1434757.633588
