# ref-type-bench-v2
# unix_time: "1789341911"
# git_commit: "unavailable"
# git_status: "unavailable"
# rustc: "rustc 1.98.1 (48a229cea 2026-09-01)\nbinary: rustc\ncommit-hash: 48a229ceaefd4985c50990b14116b6d856af0985\ncommit-date: 2026-09-01\nhost: x86_64-unknown-linux-gnu\nrelease: 1.98.1\nLLVM version: 22.1.8"
# system: "Linux N-DESKTOP-2 6.18.33.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun 18 21:54:43 UTC 2026 x86_64 x86_64 x86_64 GNU/Linux"
# cpu: "model name\t: 12th Gen Intel(R) Core(TM) i5-12400"
# cpu_affinity: "Cpus_allowed_list:\t0"
# RUSTFLAGS: ""
# CARGO_ENCODED_RUSTFLAGS: ""
# config: "Args { filter: \"\", list: false, samples: 10, warmup_ms: 200, sample_ms: 50, save_baseline: Some(\"before-1\"), baseline: None, output_dir: \"/home/namaniyu/source/ref-type/target/benchmarks/refactor-comparison\", bench: false }"
case	sample	iterations	elapsed_ns	ns_per_iteration
parse/mccarthy91	0	520	46519246	89460.088462
parse/mccarthy91	1	510	46485010	91147.078431
parse/mccarthy91	2	425	46641665	109745.094118
parse/mccarthy91	3	435	46634602	107205.981609
parse/mccarthy91	4	489	46483634	95058.556237
parse/mccarthy91	5	494	46501611	94132.815789
parse/mccarthy91	6	505	46471355	92022.485149
parse/mccarthy91	7	505	46453853	91987.827723
parse/mccarthy91	8	418	46426144	111067.330144
parse/mccarthy91	9	524	46429039	88605.036260
load/library	0	6	35766409	5961068.166667
load/library	1	6	39274736	6545789.333333
load/library	2	6	35985334	5997555.666667
load/library	3	6	41168313	6861385.500000
load/library	4	6	35142053	5857008.833333
load/library	5	7	39997569	5713938.428571
load/library	6	7	41252707	5893243.857143
load/library	7	7	41486375	5926625.000000
load/library	8	7	39733579	5676225.571429
load/library	9	6	39140892	6523482.000000
check/library	0	1	5507630353	5507630353.000000
check/library	1	1	5506845200	5506845200.000000
check/library	2	1	5523536900	5523536900.000000
check/library	3	1	5520102091	5520102091.000000
check/library	4	1	5511244080	5511244080.000000
check/library	5	1	5501954659	5501954659.000000
check/library	6	1	5508656742	5508656742.000000
check/library	7	1	5498968250	5498968250.000000
check/library	8	1	5469035364	5469035364.000000
check/library	9	1	5545698339	5545698339.000000
pipeline/library	0	1	5450115356	5450115356.000000
pipeline/library	1	1	5548092364	5548092364.000000
pipeline/library	2	1	5499645862	5499645862.000000
pipeline/library	3	1	5543218086	5543218086.000000
pipeline/library	4	1	5614335813	5614335813.000000
pipeline/library	5	1	5511175462	5511175462.000000
pipeline/library	6	1	5502337244	5502337244.000000
pipeline/library	7	1	5669612045	5669612045.000000
pipeline/library	8	1	5688240585	5688240585.000000
pipeline/library	9	1	5999597398	5999597398.000000
pipeline/mccarthy91	0	1	45447089	45447089.000000
pipeline/mccarthy91	1	1	47477348	47477348.000000
pipeline/mccarthy91	2	1	45416537	45416537.000000
pipeline/mccarthy91	3	1	48920239	48920239.000000
pipeline/mccarthy91	4	1	49440217	49440217.000000
pipeline/mccarthy91	5	1	54948615	54948615.000000
pipeline/mccarthy91	6	1	49022539	49022539.000000
pipeline/mccarthy91	7	1	47495572	47495572.000000
pipeline/mccarthy91	8	1	51262458	51262458.000000
pipeline/mccarthy91	9	1	49049279	49049279.000000
instantiate/128x16-unused	0	31	47743237	1540104.419355
instantiate/128x16-unused	1	31	48057858	1550253.483871
instantiate/128x16-unused	2	32	47886554	1496454.812500
instantiate/128x16-unused	3	29	47169169	1626523.068966
instantiate/128x16-unused	4	31	47800795	1541961.129032
instantiate/128x16-unused	5	30	48252361	1608412.033333
instantiate/128x16-unused	6	30	47868726	1595624.200000
instantiate/128x16-unused	7	30	47406929	1580230.966667
instantiate/128x16-unused	8	32	48188293	1505884.156250
instantiate/128x16-unused	9	31	48473638	1563665.741935
instantiate/128x16-one-each	0	29	47326674	1631954.275862
instantiate/128x16-one-each	1	29	47236173	1628833.551724
instantiate/128x16-one-each	2	30	48195132	1606504.400000
instantiate/128x16-one-each	3	30	47718965	1590632.166667
instantiate/128x16-one-each	4	30	48414111	1613803.700000
instantiate/128x16-one-each	5	31	47052052	1517808.129032
instantiate/128x16-one-each	6	30	47456536	1581884.533333
instantiate/128x16-one-each	7	31	47624294	1536267.548387
instantiate/128x16-one-each	8	29	49251547	1698329.206897
instantiate/128x16-one-each	9	29	48003383	1655289.068966
normalize/beta256	0	5419	35929715	6630.322015
normalize/beta256	1	5366	35837762	6678.673500
normalize/beta256	2	5503	36028049	6546.983282
normalize/beta256	3	5424	36195937	6673.292220
normalize/beta256	4	5513	36005738	6531.060765
normalize/beta256	5	5426	34755808	6405.419830
normalize/beta256	6	5595	36039832	6441.435567
normalize/beta256	7	5241	35474645	6768.678687
normalize/beta256	8	5206	35470737	6813.433922
normalize/beta256	9	5467	36077318	6599.107006
kernel/closure64x128	0	3	59596073	19865357.666667
kernel/closure64x128	1	3	56367743	18789247.666667
kernel/closure64x128	2	3	71078594	23692864.666667
kernel/closure64x128	3	3	63436277	21145425.666667
kernel/closure64x128	4	3	62611548	20870516.000000
kernel/closure64x128	5	3	59789127	19929709.000000
kernel/closure64x128	6	3	65069612	21689870.666667
kernel/closure64x128	7	3	63599099	21199699.666667
kernel/closure64x128	8	3	55870507	18623502.333333
kernel/closure64x128	9	3	66564442	22188147.333333
evaluate/countdown32	0	48	10262069	213793.104167
evaluate/countdown32	1	44	9367217	212891.295455
evaluate/countdown32	2	45	9388718	208638.177778
evaluate/countdown32	3	42	9294748	221303.523810
evaluate/countdown32	4	46	8919920	193911.304348
evaluate/countdown32	5	43	9726836	226205.488372
evaluate/countdown32	6	46	9359231	203461.543478
evaluate/countdown32	7	47	9141409	194498.063830
evaluate/countdown32	8	47	9372471	199414.276596
evaluate/countdown32	9	41	9264378	225960.439024
evaluate/countdown128	0	7	19621579	2803082.714286
evaluate/countdown128	1	6	16209820	2701636.666667
evaluate/countdown128	2	6	17581156	2930192.666667
evaluate/countdown128	3	6	18315413	3052568.833333
evaluate/countdown128	4	6	15817569	2636261.500000
evaluate/countdown128	5	6	15798178	2633029.666667
evaluate/countdown128	6	7	18088960	2584137.142857
evaluate/countdown128	7	7	17973715	2567673.571429
evaluate/countdown128	8	7	19501553	2785936.142857
evaluate/countdown128	9	7	18498948	2642706.857143
# complete
