# ref-type-bench-v2
# unix_time: "1789342114"
# git_commit: "unavailable"
# git_status: "unavailable"
# rustc: "rustc 1.98.1 (48a229cea 2026-09-01)\nbinary: rustc\ncommit-hash: 48a229ceaefd4985c50990b14116b6d856af0985\ncommit-date: 2026-09-01\nhost: x86_64-unknown-linux-gnu\nrelease: 1.98.1\nLLVM version: 22.1.8"
# system: "Linux N-DESKTOP-2 6.18.33.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun 18 21:54:43 UTC 2026 x86_64 x86_64 x86_64 GNU/Linux"
# cpu: "model name\t: 12th Gen Intel(R) Core(TM) i5-12400"
# cpu_affinity: "Cpus_allowed_list:\t0"
# RUSTFLAGS: ""
# CARGO_ENCODED_RUSTFLAGS: ""
# config: "Args { filter: \"\", list: false, samples: 10, warmup_ms: 200, sample_ms: 50, save_baseline: Some(\"after-2\"), baseline: None, output_dir: \"/home/namaniyu/source/ref-type/target/benchmarks/refactor-comparison\", bench: false }"
case	sample	iterations	elapsed_ns	ns_per_iteration
parse/mccarthy91	0	567	46418946	81867.629630
parse/mccarthy91	1	540	46333063	85801.968519
parse/mccarthy91	2	550	46320612	84219.294545
parse/mccarthy91	3	554	46140238	83285.628159
parse/mccarthy91	4	529	43895377	82978.028355
parse/mccarthy91	5	533	46353385	86966.951220
parse/mccarthy91	6	532	46524881	87452.783835
parse/mccarthy91	7	540	46339331	85813.575926
parse/mccarthy91	8	541	46576321	86093.014787
parse/mccarthy91	9	555	46542395	83860.171171
load/library	0	7	41309396	5901342.285714
load/library	1	7	41081671	5868810.142857
load/library	2	6	42304329	7050721.500000
load/library	3	6	36745413	6124235.500000
load/library	4	7	40322298	5760328.285714
load/library	5	7	40875588	5839369.714286
load/library	6	7	39934423	5704917.571429
load/library	7	6	35949554	5991592.333333
load/library	8	7	37521987	5360283.857143
load/library	9	7	40329899	5761414.142857
check/library	0	1	2627224336	2627224336.000000
check/library	1	1	2583864018	2583864018.000000
check/library	2	1	2551269393	2551269393.000000
check/library	3	1	2545669821	2545669821.000000
check/library	4	1	2541216198	2541216198.000000
check/library	5	1	2624351928	2624351928.000000
check/library	6	1	2598583684	2598583684.000000
check/library	7	1	2629803130	2629803130.000000
check/library	8	1	2624329366	2624329366.000000
check/library	9	1	2543497939	2543497939.000000
pipeline/library	0	1	2664848035	2664848035.000000
pipeline/library	1	1	2647096207	2647096207.000000
pipeline/library	2	1	2747571778	2747571778.000000
pipeline/library	3	1	2964696480	2964696480.000000
pipeline/library	4	1	2700391865	2700391865.000000
pipeline/library	5	1	2718435785	2718435785.000000
pipeline/library	6	1	2686425994	2686425994.000000
pipeline/library	7	1	2597671269	2597671269.000000
pipeline/library	8	1	2645233662	2645233662.000000
pipeline/library	9	1	2639306437	2639306437.000000
pipeline/mccarthy91	0	1	44663793	44663793.000000
pipeline/mccarthy91	1	1	46948317	46948317.000000
pipeline/mccarthy91	2	1	46799551	46799551.000000
pipeline/mccarthy91	3	1	44537260	44537260.000000
pipeline/mccarthy91	4	1	45970001	45970001.000000
pipeline/mccarthy91	5	1	46642062	46642062.000000
pipeline/mccarthy91	6	2	89911581	44955790.500000
pipeline/mccarthy91	7	1	46196692	46196692.000000
pipeline/mccarthy91	8	1	55099855	55099855.000000
pipeline/mccarthy91	9	1	44802076	44802076.000000
instantiate/128x16-unused	0	30	47865992	1595533.066667
instantiate/128x16-unused	1	29	47638287	1642699.551724
instantiate/128x16-unused	2	28	47972201	1713292.892857
instantiate/128x16-unused	3	31	47984968	1547902.193548
instantiate/128x16-unused	4	29	47122028	1624897.517241
instantiate/128x16-unused	5	32	49202714	1537584.812500
instantiate/128x16-unused	6	31	47609982	1535805.870968
instantiate/128x16-unused	7	30	48126203	1604206.766667
instantiate/128x16-unused	8	29	48370940	1667963.448276
instantiate/128x16-unused	9	30	46914803	1563826.766667
instantiate/128x16-one-each	0	25	48389253	1935570.120000
instantiate/128x16-one-each	1	28	48136195	1719149.821429
instantiate/128x16-one-each	2	28	47719803	1704278.678571
instantiate/128x16-one-each	3	30	48036555	1601218.500000
instantiate/128x16-one-each	4	28	47377827	1692065.250000
instantiate/128x16-one-each	5	29	47132942	1625273.862069
instantiate/128x16-one-each	6	29	47009102	1621003.517241
instantiate/128x16-one-each	7	27	48270644	1787801.629630
instantiate/128x16-one-each	8	29	49480109	1706210.655172
instantiate/128x16-one-each	9	27	47934199	1775340.703704
normalize/beta256	0	5111	33997132	6651.757386
normalize/beta256	1	5287	35813427	6773.865519
normalize/beta256	2	4441	34757551	7826.514524
normalize/beta256	3	5312	35016854	6592.028238
normalize/beta256	4	4992	34999097	7011.037059
normalize/beta256	5	4678	35480534	7584.551945
normalize/beta256	6	4361	35579867	8158.648704
normalize/beta256	7	5100	35255868	6912.915294
normalize/beta256	8	5309	35310140	6650.996421
normalize/beta256	9	5743	35187383	6127.003831
kernel/closure64x128	0	2061	12424885	6028.571082
kernel/closure64x128	1	2044	12378187	6055.864481
kernel/closure64x128	2	1922	12167641	6330.718522
kernel/closure64x128	3	2126	12268134	5770.523989
kernel/closure64x128	4	2282	12266270	5375.227870
kernel/closure64x128	5	2156	13986420	6487.207792
kernel/closure64x128	6	2117	12277453	5799.458196
kernel/closure64x128	7	2205	12366998	5608.615873
kernel/closure64x128	8	2061	12341510	5988.117419
kernel/closure64x128	9	2079	12641993	6080.804714
evaluate/countdown32	0	46	10312686	224188.826087
evaluate/countdown32	1	54	10068352	186450.962963
evaluate/countdown32	2	52	9897945	190345.096154
